Jakość jedzenia,Jakość obsługi,Wysokość napiwku [%]
0.0,0.0,0.0
0.0,0.25,0.125
0.0,0.5,0.25
0.0,0.75,0.375
0.0,1.0,0.5
0.0,1.25,0.625
0.0,1.5,0.75
0.0,1.75,0.875
0.0,2.0,1.0
0.0,2.25,1.125
0.0,2.5,1.25
0.0,2.75,1.375
0.0,3.0,1.5
0.0,3.25,1.70625
0.0,3.5,1.9249999999999998
0.0,3.75,2.15625
0.0,4.0,2.4
0.0,4.25,2.65625
0.0,4.5,2.925
0.0,4.75,3.20625
0.0,5.0,3.5
0.0,5.25,3.675
0.0,5.5,3.8499999999999996
0.0,5.75,4.0249999999999995
0.0,6.0,4.199999999999999
0.0,6.25,4.375
0.0,6.5,4.55
0.0,6.75,4.725
0.0,7.0,4.8999999999999995
0.0,7.25,5.074999999999999
0.0,7.5,5.25
0.0,7.75,5.425
0.0,8.0,5.6
0.0,8.25,5.7749999999999995
0.0,8.5,5.949999999999999
0.0,8.75,6.125
0.0,9.0,6.3
0.0,9.25,6.475
0.0,9.5,6.6499999999999995
0.0,9.75,6.824999999999999
0.0,10.0,7.0
0.25,0.0,0.125
0.25,0.25,0.25
0.25,0.5,0.375
0.25,0.75,0.5
0.25,1.0,0.625
0.25,1.25,0.75
0.25,1.5,0.875
0.25,1.75,1.0
0.25,2.0,1.125
0.25,2.25,1.25
0.25,2.5,1.375
0.25,2.75,1.5
0.25,3.0,1.625
0.25,3.25,1.8375
0.25,3.5,2.0625
0.25,3.75,2.3
0.25,4.0,2.55
0.25,4.25,2.8124999999999996
0.25,4.5,3.0875
0.25,4.75,3.3749999999999996
0.25,5.0,3.675
0.25,5.25,3.849999999999999
0.25,5.5,4.0249999999999995
0.25,5.75,4.199999999999999
0.25,6.0,4.374999999999999
0.25,6.25,4.55
0.25,6.5,4.725
0.25,6.75,4.8999999999999995
0.25,7.0,5.074999999999999
0.25,7.25,5.249999999999999
0.25,7.5,5.425
0.25,7.75,5.6
0.25,8.0,5.7749999999999995
0.25,8.25,5.949999999999999
0.25,8.5,6.124999999999999
0.25,8.75,6.3
0.25,9.0,6.475
0.25,9.25,6.6499999999999995
0.25,9.5,6.824999999999999
0.25,9.75,6.999999999999999
0.25,10.0,7.175
0.5,0.0,0.25
0.5,0.25,0.375
0.5,0.5,0.5
